,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
62,what label is ace of base signed to,['Ace of Base'],['Ace_of_Base'],"['Ace_of_Base', 'Ace_of_Base_discography', 'Greatest_Hits_(2008_Ace_of_Base_album)', 'List_of_songs_recorded_by_Ace_of_Base', 'Da_Capo_(Ace_of_Base_album)', 'Cecilia_(Ace_of_Base_song)', 'Always_Have,_Always_Will_(Ace_of_Base_song)', 'Beautiful_Life_(Ace_of_Base_song)', 'Cruel_Summer_(song)', 'The_Sign_(album)']",['Ace_of_Base'],['Ace_of_Base'],['Ace_of_Base'],['Ace_of_Base'],[]
63,Who did the music for the film carry on cruising,['Carry On Cruising'],['Carry_On_Cruising'],"['Carry_On_Cruising', 'Bell_CH-146_Griffon', 'National_Geographic_Endeavour', 'Battle_of_Groix', 'Chichibu_Maru', 'TSS_Camito', 'Carry_On_Spying', 'Carry_On_Behind', 'Haydon_Bridge', 'Bridges_and_tunnels_across_the_Yangtze_River']",['Carry_On_Cruising'],['Carry_On_Cruising'],['Carry_On_Cruising'],['Carry_On_Cruising'],[]
64,Who directed woody meets davy crewcut,['Woody Meets Davy Crewcut'],['Woody_Meets_Davy_Crewcut'],['Woody_Meets_Davy_Crewcut'],[],[],[],[],['Woody_Meets_Davy_Crewcut']
65,Name an album by bill wyman.,['Bill Wyman'],['Bill_Wyman'],"[""Bill_Wyman's_Rhythm_Kings"", 'Bill_Wyman', 'Bill_Wyman_(album)', 'Monkey_Grip_(Bill_Wyman_album)', 'Bill_Wyman_(disambiguation)', 'Healthy_Americans_Act', 'Bill_Wyman_(American_football)', 'Back_to_Basics_(Bill_Wyman_album)', 'The_Rolling_Stones', ""Groovin'_(Bill_Wyman's_Rhythm_Kings_album)""]",['Bill_Wyman'],['Bill_Wyman'],['Bill_Wyman'],"['Bill_Wyman', 'Bill_Wyman_(album)']",['Bill_Wyman']
66,Is jiřina bohdalová female or male?,['Jirina Bohdalova'],['Jiřina_Bohdalová'],"['Jiřina_Bohdalová', 'Ladislav_Rychman', 'Břetislav_Staš']",['Jiřina_Bohdalová'],['Jiřina_Bohdalová'],['Jiřina_Bohdalová'],['Jiřina_Bohdalová'],['Jiřina_Bohdalová']
67,what is aleksei kravchenko's origin?,['Aleksei Kravchenko'],['Aleksei_Kravchenko'],"['Aleksei_Kravchenko', 'Aleksei_Ilyich_Kravchenko', 'Alexei_Krivchenkov', 'Come_and_See', 'The_Star_(2002_film)', 'The_Christmas_Miracle', 'Santa_Claus._Battle_of_the_Magi', 'The_Scythian']",[],[],[],['Alexei_Krivchenkov'],['Aleksei_Kravchenko']
68,Who is an artist signed to warner bros. records,['Warner Bros. Records'],['Warner_Bros._Records'],"['Warner_Music_Group', 'Warner_Records', 'Giant_Records_(Warner)', 'Grand_Upright_Music,_Ltd._v._Warner_Bros._Records_Inc.', 'List_of_Warner_Records_artists', 'List_of_former_Warner_Records_artists', 'Atlantic_Records', 'List_of_current_Warner_Records_artists', 'Sire_Records', 'Mushroom_Records']",['Warner_Records'],['Warner_Records'],['Warner_Records'],['Warner_Records'],['Warner_Records']
69,who is a person with politician as a profession,['Politician'],['Politician'],"['Politician', 'Independent_politician', 'Abdul_Hamid_(politician)', 'Bryan_Anderson_(politician)', 'Mike_Baird', 'David_Anderson_(Saskatchewan_politician)', 'Elaine_Taylor_(politician)', 'Bill_Wood_(politician)', 'Boris_Johnson', 'Zoran_Živković_(politician)']",['Politician'],['Politician'],['Politician'],['Politician'],[]
70,is rob renes a male or female,['Rob Renes'],['Rob_Renes'],"['L._Ron_Hubbard', 'Rob_Renes', 'Rob_Reyes', 'OMICS_Publishing_Group', 'List_of_minor_planets:_6001–7000', 'List_of_One_Life_to_Live_characters_(1980s)', 'Longman', 'List_of_Hindawi_academic_journals', 'List_of_minor_planet_discoverers', 'René-Robert_Cavelier,_Sieur_de_La_Salle']",['Rob_Renes'],['Rob_Renes'],['Rob_Renes'],['Rob_Renes'],['Rob_Renes']
71,Who directed the film the congress,['The Congress (2013 film)'],['The_Congress_(2013_film)'],"['The_Congress_(2013_film)', 'Rajesh_Khanna', 'Jurassic_Park', 'Roja_(actress)', 'Joel_Lamangan', ""Massachusetts's_5th_congressional_district"", 'Rakshita', 'Bhavana_(Kannada_actress)', 'John_Sturges', 'Cannes_Film_Festival']",['The_Congress_(2013_film)'],['The_Congress_(2013_film)'],['The_Congress_(2013_film)'],['The_Congress_(2013_film)'],[]
72,What is the name of a folk rock album?,['Folk rock'],['Folk_rock'],"['Folk_rock', 'British_folk_rock', 'Comedy_rock', 'Cambridge,_Ontario', 'Rock_&_Folk', '1960s_in_music', 'The_Company_(folk_rock_band)', 'Medieval_folk_rock', 'Billboard_charts', 'Rock_music']",['Folk_rock'],['Folk_rock'],"['Rock_&_Folk', 'Folk_rock']","['Rock_&_Folk', 'Folk_rock']",['Folk_rock']
73,who wrote the music for kiss kiss,['Kiss Kiss (Bang Bang)'],['Kiss_Kiss_(Bang_Bang)'],"['Kiss_(band)', 'Kiss_Kiss_Bang_Bang', 'Kiss_Kiss,_Bang_Bangalore', 'Kiss_Kiss,_Bang_Bang_(Torchwood)', 'Kiss_Kiss_Bang_Bang_(EP)', 'Kiss_Kiss...Bang_Bang', 'Kiss_Kiss_Bang_Bang_(disambiguation)', 'French_Kiss_(band)', 'CSI:_Crime_Scene_Investigation_(season_6)', 'Thunderball_(soundtrack)']","['Kiss_Kiss_Bang_Bang', 'Kiss_Kiss...Bang_Bang']",['Kiss_Kiss_Bang_Bang'],"['Kiss_Kiss_Bang_Bang', 'Kiss_Kiss...Bang_Bang']","['Kiss_Kiss_Bang_Bang', 'Kiss_Kiss...Bang_Bang']",[]
74,which film did ryuichi sakamoto create the music for,['Ryuichi Sakamoto'],['Ryuichi_Sakamoto'],"['Ryuichi_Sakamoto', 'Ryuichi_Sakamoto_discography', 'Love_&_Hate_(song)', 'Glass_(composition)', 'Heartbeat_(Ryuichi_Sakamoto_album)', 'Chasm_(Ryuichi_Sakamoto_album)', 'Sweet_Revenge_(Ryuichi_Sakamoto_album)', 'Ryuichi_Sakamoto._Conversazioni', 'Beauty_(Ryuichi_Sakamoto_album)', 'Futurista_(Ryuichi_Sakamoto_album)']",['Ryuichi_Sakamoto'],['Ryuichi_Sakamoto'],['Ryuichi_Sakamoto'],['Ryuichi_Sakamoto'],['Ryuichi_Sakamoto']
75,what novelist was born in chicago?,['Chicago'],['Chicago'],"['Chicago', 'Chicago_Bears', 'University_of_Chicago', 'Chicago_Blackhawks', 'Chicago_Cubs', 'Chicago_White_Sox', 'Chicago_Bulls', 'Club_Atlético_Nueva_Chicago', 'Chicago_Transit_Authority', 'Chicago_Sting']",['Chicago'],['Chicago'],['Chicago'],"['Chicago', 'University_of_Chicago']","['Novelist', 'Chicago']"
76,Who directed the the tourist film?,['The Tourist (1925 film)'],['The_Tourist_(1925_film)'],"['The_Tourist_(1925_film)', 'The_Tourist_(1921_film)', 'Walter_L._Griffin', 'Portmeirion', 'Herbert_Hall_Winslow', 'Manuel_F._Araujo', 'Daio_Wasabi_Farm', 'Peter_Alexander_(Austrian_performer)', 'The_Great_Leap_(film)', 'Tomi_Taira']",['The_Tourist_(1925_film)'],['The_Tourist_(1925_film)'],['The_Tourist_(1925_film)'],['The_Tourist_(1925_film)'],[]
77,what is the name of an artist with epitaph records,['Epitaph Records'],['Epitaph_Records'],"['Epitaph_Records', 'Hellcat_Records', 'Anti-_(record_label)', 'Epitaph_Records_discography', 'Fake_History', 'Burning_Heart_Records', 'Punk-O-Rama', 'Falling_in_Reverse', 'Every_Time_I_Die', 'Lost_Forever_//_Lost_Together']",['Epitaph_Records'],['Epitaph_Records'],['Epitaph_Records'],['Epitaph_Records'],['Epitaph_Records']
78,"who wrote \\""w\\"" is for wasted",['%22W%22 Is for Wasted'],['%22W%22_Is_for_Wasted'],"['Wasted_Youth_(American_band)', 'Walter_J._Harvey', '%22W%22_Is_for_Wasted', 'Wasted', 'Alan_Grant_(writer)', 'Wasted_Time', 'Walt_Disney', 'Wasted_vote', 'Wasted:_Tales_of_a_GenX_Drunk', 'Waseda_University']",['%22W%22_Is_for_Wasted'],['%22W%22_Is_for_Wasted'],['%22W%22_Is_for_Wasted'],['%22W%22_Is_for_Wasted'],[]
79,what category of celestial objects does kappa draconis belong to,['Kappa Draconis'],['Kappa_Draconis'],"['Kappa_(folklore)', 'Stars_and_planetary_systems_in_fiction', 'Kappa_Draconis', 'Suijin']",['Kappa_Draconis'],['Kappa_Draconis'],['Kappa_Draconis'],['Kappa_Draconis'],"['Astronomical_object', 'Kappa_Draconis']"
80,which program was created by amy sherman-palladino,['Amy Sherman-Palladino'],['Amy_Sherman-Palladino'],"['Amy_Sherman-Palladino', 'List_of_Gilmore_Girls_episodes', 'Gilmore_Girls', 'The_Marvelous_Mrs._Maisel', 'Gilmore_Girls:_A_Year_in_the_Life', 'Daniel_Palladino', 'Helen_Pai', 'Pilot_(Gilmore_Girls)', 'The_Return_of_Jezebel_James', 'Bunheads']",['Amy_Sherman-Palladino'],['Amy_Sherman-Palladino'],['Amy_Sherman-Palladino'],['Amy_Sherman-Palladino'],['Amy_Sherman-Palladino']
81,What's a gameplay mode in sacred,['Sacred (video game)'],['Sacred_(video_game)'],"['Sacred_2:_Fallen_Angel', 'Sacred_(video_game)', 'Music_of_Dance_Dance_Revolution_(2009_video_games)', 'Nippon_Ichi_Software', 'Fire_Emblem:_The_Sacred_Stones', 'Flight-Plan', 'ToeJam_&_Earl_III:_Mission_to_Earth', 'Disciples_II:_Dark_Prophecy', 'Makai_Kingdom:_Chronicles_of_the_Sacred_Tome', 'Free_Realms']",['Sacred_(video_game)'],['Sacred_(video_game)'],['Sacred_(video_game)'],['Sacred_(video_game)'],[]
82,Who directed the film darling lili,['Darling Lili'],['Darling_Lili'],"['Darling_Lili', 'List_of_Pushing_Daisies_characters', 'Anthony_Squire', 'James_Lanphier', 'The_Carey_Treatment', 'Jack_Bear', 'Mira_quién_baila_(season_4)', 'Merci,_Chérie', 'I_Shot_Andy_Warhol', 'Just_Another_Cowboy_Song']",['Darling_Lili'],['Darling_Lili'],['Darling_Lili'],['Darling_Lili'],['Darling_Lili']
83,what city and state was c. jack ellis born in,['C. Jack Ellis'],['C._Jack_Ellis'],"['Edward_S._Ellis', 'C._Jack_Ellis', 'List_of_Home_and_Away_characters_(2017)', 'Albert_J._Ellis_Airport', '2010_United_States_House_of_Representatives_elections_in_Michigan', 'List_of_recurring_Blue_Heelers_characters', 'List_of_General_Hospital_characters', 'List_of_Brookside_characters', 'List_of_Waterloo_Road_characters', 'Characters_of_Casualty']",['C._Jack_Ellis'],['C._Jack_Ellis'],['C._Jack_Ellis'],['C._Jack_Ellis'],"['City', 'Jack_Ellis_(actor)']"
84,What is johnny russell's nationality?,['Johnny Russell (singer)'],['Johnny_Russell_(singer)'],"['Johnny_Russell_(singer)', 'Johnny_Young', 'Karen_Brooks', 'Tom_Russell', ""Let's_Fall_to_Pieces_Together"", 'Part_Three_into_Paper_Walls', 'The_Real_Thing_(Russell_Morris_song)', 'Blue_Eyes_Crying_in_the_Rain', 'R&J_Stone', ""You'll_Be_Back_(Every_Night_in_My_Dreams)""]",['Johnny_Russell_(singer)'],['Johnny_Russell_(singer)'],['Johnny_Russell_(singer)'],['Johnny_Russell_(singer)'],['John_R._Countryman']
85,who created the story for godzilla (1998 film),['Godzilla (1998 film)'],['Godzilla_(1998_film)'],"['Godzilla_(1998_film)', 'Tomoyuki_Tanaka', 'Momoko_Kōchi', 'Godzilla:_The_Series', 'Ishirō_Honda', 'Zilla_(Godzilla)', 'Raymond_Burr', 'Zhang_Ziyi', 'Masaru_Sato', 'David_Arnold']",['Godzilla_(1998_film)'],['Godzilla_(1998_film)'],['Godzilla_(1998_film)'],['Godzilla_(1998_film)'],['Godzilla_(1998_film)']
86,where did vic frazier die?,['Vic Frazier'],['Vic_Frazier'],"['Viscera_(wrestler)', 'Vic_Frazier', 'Frasier_(season_2)', 'Chlaenius', 'List_of_Stargate_SG-1_characters', 'Victor_O._Frazer', 'Harry_Fraser_(director)', 'List_of_Grange_Hill_characters', 'Vancouver_School_Board', 'List_of_The_Bill_characters_(E–L)']",['Vic_Frazier'],['Vic_Frazier'],['Vic_Frazier'],['Vic_Frazier'],['Vic_Frazier']
87,where was sjafruddin prawiranegara born,['Sjafruddin Prawiranegara'],['Sjafruddin_Prawiranegara'],"['Sjafruddin_Prawiranegara', 'Emergency_Government_of_the_Republic_of_Indonesia', 'Sjafruddin_Emergency_Cabinet', 'Teuku_Muhammad_Hasan']",['Sjafruddin_Prawiranegara'],['Sjafruddin_Prawiranegara'],['Sjafruddin_Prawiranegara'],['Sjafruddin_Prawiranegara'],['Sjafruddin_Prawiranegara']
88,Who wrote the book strega,['Strega (novel)'],['Strega_(novel)'],"['Strega_(novel)', 'Strata_(novel)', 'Mario_Soldati', 'Pure_Dead_series', 'Niccolò_Ammaniti', 'Goffredo_Parise', 'Francesco_Piccolo', 'The_Nymph', 'La_strega_in_amore', 'The_Leopard']",['Strega_(novel)'],['Strega_(novel)'],['Strega_(novel)'],['Strega_(novel)'],['Strega_Prize']
89,what is georgia gibbs's country of nationality?,['Georgia Gibbs'],['Georgia_Gibbs'],"['Georgia_Gibbs', 'List_of_minor_planet_discoverers', 'W._Benjamin_Gibbs', 'William_Gibbs_McAdoo_House', 'Tyntesfield', 'Florence_Reville_Gibbs', 'Ellis_Arnall', 'James_Gibbs', '2012_Wofford_Terriers_football_team', 'Janie_Lou_Gibbs']",['Georgia_Gibbs'],['Georgia_Gibbs'],"['Georgia_Gibbs', 'James_Gibbs']","['Georgia_Gibbs', 'James_Gibbs']",['Georgia_Gibbs']
90,what is cassiesteele's gender?,['Cassie Steele'],['Cassie_Steele'],"['Cassie_Steele', 'Cassie_Premo_Steele', 'SWAT_Kats:_The_Radical_Squadron', 'The_L.A._Complex', 'Solo_Mobile_/_Eckō_Red_Tour', 'How_Much_for_Happy', 'Accidents_Will_Happen_(Degrassi:_The_Next_Generation)', 'Destructo_Doll', 'Johnny_Cage', 'Raya_and_the_Last_Dragon']",['Cassie_Steele'],['Cassie_Steele'],['Cassie_Steele'],['Cassie_Steele'],['Gender']
91,The film abduction  was edited by whom?,['Abduction (2011 film)'],['Abduction_(2011_film)'],"['Ernie_Barbarash', 'Abduction_(2011_film)', 'Alien_Abduction_(2014_film)', 'Alien_Abduction_(2005_film)', 'Guillaume_Nicloux', 'Tiger_Zinda_Hai', 'With_My_Heart_in_Yambo', 'Blame_It_on_the_Boom_Boom', 'Man_of_Vendetta', 'Patty_Kim']",['Abduction_(2011_film)'],['Abduction_(2011_film)'],['Abduction_(2011_film)'],['Abduction_(2011_film)'],['Alien_abduction']
92,what is the genre of bernthøler?,['Berntholer'],['Bernthøler'],"['Bernthøler', 'Bertholet_Flemalle', 'Rob_Bertholee', 'Alfred_Bertholet', 'Jean-Guillaume_Carlier', 'Englebert_Fisen', 'East_Reserve']",['Bernthøler'],['Bernthøler'],['Bernthøler'],['Bernthøler'],['Bernthøler']
93,where was hank cochran birthed,['Hank Cochran'],['Hank_Cochran'],"['Hank_Cochran', 'Jamey_Johnson', 'Living_for_a_Song', 'List_of_minor_planets:_4001–5000', 'Tom_Cochrane', 'List_of_municipal_districts_in_Alberta', 'Hemaris', ""It's_Just_My_Funny_Way_of_Laughin'"", ""She's_Got_You"", 'A_Little_Bitty_Tear']",['Hank_Cochran'],['Hank_Cochran'],['Hank_Cochran'],['Hank_Cochran'],['Hank_Cochran']
94,what is the gender of eberhard kinzel?,['Eberhard Kinzel'],['Eberhard_Kinzel'],['Eberhard_Kinzel'],['Eberhard_Kinzel'],['Eberhard_Kinzel'],['Eberhard_Kinzel'],['Eberhard_Kinzel'],"['Gender', 'Eberhard_Kinzel']"
95,What film was produced by monogram pictures?,['Monogram Pictures'],['Monogram_Pictures'],"['Monogram_Pictures', 'List_of_Monogram_Pictures_and_Allied_Artists_Pictures_films', 'Trem_Carr', 'Producers_Releasing_Corporation', 'Marcel_Le_Picard', 'Lindsley_Parsons', 'Reliable_Pictures', 'Harry_S._Webb', 'Chadwick_Pictures', 'Vincent_M._Fennelly']",['Monogram_Pictures'],['Monogram_Pictures'],['Monogram_Pictures'],['Monogram_Pictures'],['Monogram_Pictures']
96,What gender is laura kirkpatrick,['Laura Kirkpatrick'],['Laura_Kirkpatrick'],"['Sage_Kirkpatrick', 'Laura_Kirkpatrick', 'Jessica_Novak']",['Laura_Kirkpatrick'],['Laura_Kirkpatrick'],['Laura_Kirkpatrick'],['Laura_Kirkpatrick'],"['Gender', 'Laura_Kirkpatrick']"
97,What language does Sanjog Se Bani Sangini speak?,['Sanjog Se Bani Sangini'],['Sanjog_Se_Bani_Sangini'],"['Sanjog_Se_Bani_Sangini', 'Binny_Sharma']",['Sanjog_Se_Bani_Sangini'],['Sanjog_Se_Bani_Sangini'],['Sanjog_Se_Bani_Sangini'],['Sanjog_Se_Bani_Sangini'],"['Language', 'Sanjog_Se_Bani_Sangini']"
98,What gameplay options are available for the game growlanser iv: wayfarer of the time,['Growlanser Wayfarer of Time'],['Growlanser_Wayfarer_of_Time'],['Growlanser:_Wayfarer_of_Time'],['Growlanser:_Wayfarer_of_Time'],['Growlanser:_Wayfarer_of_Time'],['Growlanser:_Wayfarer_of_Time'],['Growlanser:_Wayfarer_of_Time'],['Growlanser:_Wayfarer_of_Time']
99,what kind of game is super monkey ball: banana blitz,['Super Monkey Ball: Banana Blitz'],['Super_Monkey_Ball:_Banana_Blitz'],['Super_Monkey_Ball:_Banana_Blitz'],['Super_Monkey_Ball:_Banana_Blitz'],['Super_Monkey_Ball:_Banana_Blitz'],['Super_Monkey_Ball:_Banana_Blitz'],['Super_Monkey_Ball:_Banana_Blitz'],"['Super_Monkey_Ball', 'Banana', 'The_Blitz']"
100,who wrote the film the inner circle,['The Inner Circle (1991 film)'],['The_Inner_Circle_(1991_film)'],"['The_Inner_Circle_(1991_film)', 'The_Inner_Circle_(1912_film)', '42nd_Berlin_International_Film_Festival', 'Bad_Boys_(Inner_Circle_song)', 'Dennis_Quaid', 'Ivan_Sanchin', ""Bogart's"", 'Charles_S._Thompson', 'Wu_Di_(film_critic_and_historian)']",['The_Inner_Circle_(1991_film)'],['The_Inner_Circle_(1991_film)'],['The_Inner_Circle_(1991_film)'],['The_Inner_Circle_(1991_film)'],['Circle']
101,where is the birthplace of rob margolies,['Rob Margolies'],['Rob_Margolies'],"['Rob_Margolies', 'Robert_Margalis', 'August_Strindberg_Repertory_Theatre', 'Bob_Margolin', 'Wherever_You_Are_(film)', 'She_Wants_Me', 'Ken_Smukler', ""Kelly's_Heroes"", 'Hollyoaks_Later_(series_4)', 'Kostas_Sommer']",['Rob_Margolies'],['Rob_Margolies'],['Rob_Margolies'],['Rob_Margolies'],['Rob_Margolies']
102,name a piano player.,['Piano'],['Piano'],"['Piano', 'Blues', 'Pianist', 'U.S._Ancona_1905', 'Electric_piano', 'Rhodes_piano', 'Cable_Piano_Company', 'Piano_pedagogy', 'Music_education', 'Musical_keyboard']",['Piano'],['Piano'],['Piano'],['Piano'],['Piano']
103,what language is used in harbour drift,['Beyond the Street'],['Beyond_the_Street'],"['Beyond_the_Street', 'Haruka:_Beyond_the_Stream_of_Time', 'Resistance_Is_Futile_(album)', 'SomaFM', 'Grand_Theft_Auto:_San_Andreas', 'Haruka:_Beyond_the_Stream_of_Time_(manga)', 'Doyle_Lawson', 'Unpublished_and_uncollected_works_by_Stephen_King', 'Frances_Brody', 'The_Greatest_Trade_Ever']",['Beyond_the_Street'],['Beyond_the_Street'],['Beyond_the_Street'],['Beyond_the_Street'],"['Language', 'Harbor']"
104,who is the videogame developer of roc'n rope,"[""Roc'n Rope""]","[""Roc'n_Rope""]","[""Roc'n_Rope"", 'Roper_River_scrub_robin', 'Rose_robin', 'San_Rocco,_Rome', 'Robin_Roe', 'Tobin_Rote', 'List_of_Fair_City_characters', 'List_of_minor_planet_discoverers', 'List_of_I_Am_Weasel_episodes', 'List_of_Grange_Hill_characters']","[""Roc'n_Rope""]","[""Roc'n_Rope""]","[""Roc'n_Rope""]","[""Roc'n_Rope""]","['Video_game', ""Roc'n_Rope""]"
105,what was joseph-ferdinand daniel's place of death,['Joseph-Ferdinand Daniel'],['Joseph-Ferdinand_Daniel'],"['Joseph-Ferdinand_Daniel', 'List_of_Lehigh_University_faculty', 'Dendrophthoe_vitellina']",['Joseph-Ferdinand_Daniel'],['Joseph-Ferdinand_Daniel'],['Joseph-Ferdinand_Daniel'],['Joseph-Ferdinand_Daniel'],['Joseph-Ferdinand_Daniel']
106,who directed the film drums of tahiti,['Drums of Tahiti'],['Drums_of_Tahiti'],"['Drums_of_Tahiti', 'The_Pagan', 'La_diosa_de_Tahití', 'Lali_(drum)', 'Rebellion_(2011_film)', 'Pate_(instrument)', 'Tiara_Tahiti', 'Densha_Otoko_(TV_series)', 'Tahitian_drumming', 'Bodybuilding_at_the_2011_Pacific_Games']",['Drums_of_Tahiti'],['Drums_of_Tahiti'],['Drums_of_Tahiti'],['Drums_of_Tahiti'],"['Drum_kit', 'Tahiti']"
107,Where is philippe delorme from?,['Philippe Delorme'],['Philippe_Delorme'],"['Philippe_Delorme', 'Hardi_Pardaillan!', 'Futurikon', 'Foreign_Ministers_of_Haiti', 'Psyché_(play)', 'Valentina_(Philippine_comics)']",['Philippe_Delorme'],['Philippe_Delorme'],['Philippe_Delorme'],['Philippe_Delorme'],['Philippe_Delorme']
108,where was gail harris born?,['Gail Harris'],['Gail_Harris'],"['Gail_Harris_(naval_officer)', 'Gail_Harris', 'Gail_Harris_(baseball)', 'List_of_24_characters', 'Mark_Getty', 'Nicole_Renée', ""America's_Most_Wanted_(professional_wrestling)"", 'Sorority_House_Massacre_II', 'List_of_American_Horror_Story:_Roanoke_characters', 'The_Aristocats']",['Gail_Harris'],['Gail_Harris'],['Gail_Harris'],['Gail_Harris'],['Gail_Harris']
109,Is anatoliy matkevych male or female?,['Anatoliy Matkevych'],['Anatoliy_Matkevych'],['Anatoliy_Matkevych'],['Anatoliy_Matkevych'],['Anatoliy_Matkevych'],['Anatoliy_Matkevych'],['Anatoliy_Matkevych'],['Anatoliy_Matkevych']
110,what position does bernie graham play,['Bernie Graham'],['Bernie_Graham'],"['Bernard_Graham', 'Bernie_Graham', 'List_of_minor_planets:_5001–6000', 'List_of_EastEnders_characters_(2006)', 'Vancouver_School_Board', 'H._Graham_Motion', 'Bad_Santa', 'For_Certain_Because', 'Hollies_Sing_Hollies', 'Bernie_Massey']",['Bernie_Graham'],['Bernie_Graham'],['Bernie_Graham'],['Bernie_Graham'],['Bernie_Graham']
111,who developed the computer videogame empire earth,['Empire Earth'],['Empire_Earth'],"['Empire_Earth', 'Habsburg_Monarchy', 'Empire_Earth_III', 'Empire_Earth_II', 'Achaemenid_Empire', 'Moldavia', 'Empire_Earth:_The_Art_of_Conquest', 'History_of_China', 'World_government', 'Empire_Earth_II:_The_Art_of_Supremacy']",['Empire_Earth'],['Empire_Earth'],['Empire_Earth_III'],"['Empire_Earth_III', 'Empire_Earth_II']","['Computer', 'Video_game', 'Empire_Earth']"
112,who's a kung fu star from hong kong,['Hong Kong'],['Hong_Kong'],"['Hong_Kong', 'British_Hong_Kong', 'Hong_Kong_national_football_team', 'Hong_Kong_Rangers_FC', 'University_of_Hong_Kong', 'Hong_Kong_national_under-23_football_team', 'R&F_(Hong_Kong)', 'Hong_Kong_Pegasus_FC', 'Cinema_of_Hong_Kong', 'Central,_Hong_Kong']",['Hong_Kong'],['Hong_Kong'],['Hong_Kong'],['Hong_Kong'],"['Chinese_martial_arts', 'Hong_Kong']"
113,What's a gameplay mode in silhouette mirage,['Silhouette Mirage'],['Silhouette_Mirage'],"['Silhouette_Mirage', 'Jackie_Powers', 'Outland_(video_game)']",['Silhouette_Mirage'],['Silhouette_Mirage'],['Silhouette_Mirage'],['Silhouette_Mirage'],['Silhouette_Mirage']
