,question,entities,MuHeQA_FLERT
380,what type of music is on ricochet?,['Ricochet'],"['music', 'ricochet']"
381,which city did leo erdody die ,['Leo Erdody'],['leo erdody']
382,what nationality is jorge i. dominguez,['Jorge I. Dominguez'],['jorge i. dominguez']
383,Which language is the film terminal city ricochet in,['Terminal City Ricochet'],['language']
384,Which county is rancho chico located in,['Rancho Chico'],['rancho chico']
385,what is cai chusheng's place of birth?,['Cai Chusheng'],['cai chusheng']
386,What city did lucas demare die in,['Lucas Demare'],['lucas demare']
387,Who's a person born in sydney?,['Sydney'],['sydney']
388,where did jay robinson die,['Jay Robinson'],['jay robinson']
389,Who is from skopje,['Skopje'],['skopje']
390,Who is someone that was born in stockholm,['Stockholm'],['stockholm']
391,What nationality is k. rajagopal,['K. Rajagopal'],['k. rajagopal']
392,What genre does the everly brothers sing great country hits represent,['The Everly Brothers Sing Great Country Hits'],['everly brothers']
393,what position does paul donnelly play?,['Paul Donnelly'],['paul donnelly']
394,Name someone who died of cancer,['cancer'],"['someone', 'cancer']"
395,what kind of movie is corn,['Corn'],"['movie', 'corn']"
396,What is captain america an adaptation of,['Captain America'],['captain america']
397,what is the country of origin of the tv show billable hours,['Billable Hours'],['tv show billable hours']
398,Who was the artist behind mylo xyloto,['Mylo Xyloto'],['mylo xyloto']
399,what position does floyd bannister play,['Floyd Bannister'],"['position', 'floyd bannister']"
400,where was hans günther van allen born ,['Hans Günther van Allen'],['hans günther van allen']
401,WHo did the music for the film sachché ká bol-bálá,['Sachché Ká Bol-Bálá'],['sachché ká bol-bálá']
402,after the truth is in what language,['After the Truth'],"['truth', 'language']"
403,who was born in wokingham?,['Wokingham'],['wokingham']
404,where was the body of daniel sickles buried,['Daniel Edgar Sickles'],['daniel sickles']
405,who was the author of the end of eternity,['The End of Eternity'],['eternity']
406,what celestial body does 4689 donn orbit?,['4689 Donn'],"['celestial body', '4689 donn orbit']"
407,Who produced the album streets...,['Streets...'],['album streets']
408,What is the gender of patsy rowlands?,['Patsy Rowlands'],['patsy rowlands']
409,what was the language spoken in the film intersexion?,['Intersexion'],"['language', 'film intersexion']"
410,who plays a pitcher in baseball,['pitcher'],['baseball']
411,What is the gender of jabari asim?,['Jabari Asim'],['jabari asim']
412,who produced the street of forgotten men?,['The Street of Forgotten Men'],['men']
413,Name a person who was born in helsinki,['Helsinki'],['helsinki']
414,which former dutch footballer was born in amsterdam,['Amsterdam'],"['former dutch footballer', 'amsterdam']"
415,whats the name of an indie rock performer,['indie rock'],['indie rock performer']
416,what is silvio schröter's county of nationality?,['Silvio Schröter'],['silvio schröter']
417,Where was delly ranx born,['Delly Ranx'],['delly ranx']
418,what is a position played by martin wagner,['Martin Wagner'],['martin wagner']
419,oldham athletic a.f.c.  plays in what arena,['Oldham Athletic A.F.C.'],['oldham athletic a.f.c.']
420,What is the name of a rhythm and blues album?,['rhythm and blues'],['rhythm and blues album']
421,Where did duke esper pass away,['Duke Esper'],['duke esper']
422,where in france did  daniel singer pass away,['Daniel Singer'],"['france', 'daniel singer']"
423,what is mervat tallawy's nationality,['Mervat Tallawy'],['mervat tallawy']
424,what country was violent playground filmed in,['Violent Playground'],"['country', 'violent playground']"
425,who was born in rendsburg,['Rendsburg'],['rendsburg']
426,what style of music is anime speed,['-'],"['music', 'anime speed']"
427,What is one of the gameplay modes in call of duty: black ops ii?,['Call of Duty: Black Ops II'],['call of duty : black ops ii']
428,where was what play did  born,['Gabrielle Roy'],['play']
429,what type of game is blazblue: calamity trigger released in?,['BlazBlue: Calamity Trigger'],['blazblue : calamity trigger']
430,who was the production company for the film rip!: a remix manifesto,['RiP!: A Remix Manifesto'],"['film rip', 'remix manifesto']"
431,where in california was  benji schwimmer born,['Benji Schwimmer'],"['benji schwimmer', 'california']"
432,where was jocelyne lagarde born ,['Jocelyne LaGarde'],['jocelyne lagarde']
433,what is aleksei kostenko's gender,['Aleksei Kostenko'],['aleksei kostenko']
434,which gender is william dominic austin,['Billy Austin'],['william dominic austin']
435,which constellation is hd 157753 a part of,['HD 157753'],"['constellation', '157753']"
436,Where was george karl born?,['George Karl'],['george karl']
437,who's a notable screenwriter from tel aviv,['screenwriter'],['tel aviv']
438,What country is the movie À propos de nice from?,['À propos de Nice'],"['country', 'movie']"
439,"what is charles, prince of wales's religion ","['Charles, Prince of Wales']","['charles', 'wales']"
440,Name a woman who works as an actress,['actor'],"['woman', 'actress']"
441,What is a game that uses single-player mode?,['single-player video game'],"['game', 'single-player mode']"
442,is charlie mason an outfielder or infielder,['Charlie Mason'],['charlie mason']
443,What is a gameplay mode that can be found on bomberman touch 2: volcano party?,['Bomberman Touch 2: Volcano Party'],"['bomberman touch 2', 'volcano party']"
444,Where is masse broberg from,['Emperor Magus Caligula'],[]
445,where was dudley foster born,['Dudley Foster'],['dudley foster']
446,Who was the director of frank oz,['Frank Oz'],['frank oz']
447,what gender is kinya aikawa,['Kinya Aikawa'],['gender']
448,Where was gerardus vossius place of birth ,['Gerardus Vossius'],['gerardus vossius']
449,Which position does claudiano alves dos santos play in football,['Claudiano Alves dos Santos'],['claudiano alves dos santos']
450,Who is a person that was born in weston,['Weston'],['weston']
451,In which language was driving the last spike written? ,['Driving the Last Spike'],"['language', 'last spike']"
452,What country is pato branco in?,['Pato Branco'],['country']
453,which country is nicholas miccarelli iii from,['Nicholas Miccarelli III'],['nicholas miccarelli iii']
454,which modes does atv offroad fury 3 have,['ATV Offroad Fury 3'],['atv offroad fury 3']
455,where was patsy tebeau born ,['Patsy Tebeau'],['patsy tebeau']
456,where is sheila larken from,['Marteen Huell'],['sheila larken']
457,What country is julio salvador from?,['Julio Salvador'],['julio salvador']
458,what position does joão miguel play?,['João Miguel'],['joão miguel']
459,Whose death was caused by myocardial infarction?,['myocardial infarction'],"['death', 'myocardial infarction']"
460,george ardisson is what gender?,['George Ardisson'],['george ardisson']
461,What band wrote ron mcgovneys 82 garage demo,"[""Ron McGovney's '82 Garage Demo""]",['ron mcgovneys 82 garage demo']
462,who plays the piano?,['piano'],['piano']
463,where was paul shipton born,['Paul Shipton'],['paul shipton']
464,What is a state in canada,['Canada'],['canada']
465,what position does alemayo kebede play,['Alemayo Kebede'],['alemayo kebede']
466,Name someone who was born in rockford,['Rockford'],['rockford']
467,is robert whitaker male or female,['Robert Whitaker'],['robert whitaker male or female']
468,the audio of tetsujin nijūhachi-gō: hakuchū no zangetsu is in this language.,['Tetsujin 28-go'],['tetsujin nijūhachi-gō : hakuchū no zangetsu']
469,who is gory guerrero's son,['Gory Guerrero'],['gory guerrero']
470,What is the nationality of irina shayk,['Irina Shayk'],['irina shayk']
471,What label is bushman associated with,['Bushman'],"['label', 'bushman']"
472,where did leone giraldoni die,['Leone Giraldoni'],['leone giraldoni']
473,what is jenna lee's ethnicity?,['Jenna Lee'],['jenna lee']
474,Where did paul levain pass away?,['Pol Ferjac'],['paul levain']
475,which song did brian molko write the lyrics to,['Brian Molko'],['brian molko']
476,"who is the producer of the film paris, texas","['Paris, Texas']","['film paris', 'texas']"
477,What gender is spike (buffy the vampire slayer)?,['Spike'],['buffy the vampire slayer']
478,where was jeff manship born ,['Jeff Manship'],['jeff manship']
479,which city did nikolai ostrovsky die,['Nikolai Ostrovsky'],['nikolai ostrovsky']
480,Who directed the film vellinakshatram,['Vellinakshatram'],['film vellinakshatram']
481,"What country does shoot first, die later originate from?","['Shoot First, Die Later']",['country']
482,who produced the album the hunter?,['The Hunter'],['the hunter']
483,What language is the movie viswanatha nayakudu in?,['Vishwanatha Nayakudu'],['viswanatha nayakudu']
484,which war did george welch fight in ,['George Welch'],['george welch']
485,Name tony castillo's profession?,['Tony Castillo'],['tony castillo']
486,where did jahangir die,['Jahangir'],['jahangir']
487,Which county is woodsboro located in,['Woodsboro'],['woodsboro']
488,what country is ruy guerra from,['Ruy Guerra'],['country']
489,Who died from emphysema?,['pulmonary emphysema'],['emphysema']
490,what position does pat dillard play in baseball,['Pat Dillard'],['pat dillard']
491,which country released small time gangster,['Small Time Gangster'],"['country', 'small time gangster']"
492,what biological gender is nicolas provost,['Nicolas Provost'],"['biological gender', 'nicolas provost']"
493,what city and state in america did  pete candoli pass away,['Pete Candoli'],"['pete candoli', 'america']"
494,what is a Russian actor known for his role in d'Artagnan born in moscow ,['Moscow'],"['moscow', ""d'Artagnan"", 'Russian']"
495,which country is reginald mountain from,['Reginald Mountain'],['country']
496,which film did stanley kubrick write ,['Stanley Kubrick'],['stanley kubrick']
497,which language is primarily used in alice's restaurant,"[""Alice's Restaurant""]",['alice']
498,where is the movie music for madame from,['Music for Madame'],[]
499,Is the gender of walter bowman male of female?,['Walter Bowman'],['walter bowman']
500,which languages were spoken in the film bunker hill bunny?,['Bunker Hill Bunny'],['film bunker hill bunny']
501,Where is tom uren from,['Tom Uren'],['tom uren']
502,What type of celestial object is 4733 oro,['4733 ORO'],"['celestial object', '4733 oro']"
503,which gender is omoni oboli,['Omoni Oboli'],['oboli']
504,which noteworthy person was born in rennes?,['Rennes'],['rennes']
505,where was 4974 elford discovered,['4974 Elford'],['4974 elford']
506,who is the label for the artist devin bronson?,['Devin Bronson'],['artist devin bronson']
507,what is the nationality of enrique amorim,['Enrique Amorim'],['enrique amorim']
508,who is the artist on nancy7,['Nancy 7'],['nancy7']
509,Which artist recorded the album the platinum collection?,['The Platinum Collection'],"['artist', 'album', 'platinum collection']"
510," greville janner, baron janner of braunstone is of what ethnicity","['Greville Janner, Baron Janner of Braunstone']","['baron janner of braunstone', 'greville janner']"
511,what is the name of a action-adventure game,['action-adventure game'],['action-adventure game']
512,who is son of sima yi,['Sima Yi'],['sima yi']
513,Which genre is the lion of the moguls?,['The Lion of the Moguls'],"['genre', 'moguls']"
514,what large city in brazil was marcus viana born,['Marcus Viana'],"['marcus viana', 'brazil']"
515,Name a rock music artist,['rock music'],['rock music artist']
516,what instrument did eric johnson play?,['Eric Johnson'],['eric johnson']
517,what country was nascar in primetime broadcasted in,['NASCAR in Primetime'],['nascar']
518,Where did james foster pass away?,['James Foster'],['james']
519,in what language is the film foundry town,['Foundry Town'],"['language', 'film foundry town']"
520,Where is Olga Desmond's place of birth?,['Olga Desmond'],['Olga Desmond']
521,what illness was suffered by ludwig wittgenstein,['Ludwig Wittgenstein'],['ludwig wittgenstein']
