,question,responses,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Rank,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Rank,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
325,what is a Russian actor known for his role in d'Artagnan born in moscow,['Boris Pokrovsky'],,,,,,,,,,,,
326,which country is reginald mountain from,[nan],,,,,,,,,,,,
327,which film did stanley kubrick write,['2001: A Space Odyssey (film)'],,,,,,,,,,,,
328,Is the gender of walter bowman male of female?,[nan],,,,,,,,,,,,
329,which gender is omoni oboli,[nan],,,,,,,,,,,,
330,which noteworthy person was born in rennes?,['Mostapha Laabid'],,,,,,,,,,,,
331,who is the label for the artist devin bronson?,['RCA Records'],,,,,,,,,,,,
332,what is the name of a action-adventure game,['60 Seconds!'],,,,,,,,,,,,
333,who is son of sima yi,['Sima Zhao'],,,,,,,,,,,,
334,Name a rock music artist,['(One Glance Is) Holy'],,,,,,,,,,,,
335,what instrument did eric johnson play?,[nan],,,,,,,,,,,,
336,what country was nascar in primetime broadcasted in,['United States'],,,,,,,,,,,,
337,Where did james foster pass away?,"['Jacksonville, Illinois, United States']",,,,,,,,,,,,
338,Where is Olga Desmond's place of birth?,[nan],,,,,,,,,,,,
339,what football position does stanislav kostov play,['Forward (association football)'],,,,,,,,,,,,
340,What game did Bandai publish?,['64 de Hakken!! Tamagotchi: Minna de Tamagotchi World'],,,,,,,,,,,,
341,which project did fred quimby earn a producer credit,"[""Little 'Tinker""]",,,,,,,,,,,,
342,Name a screenwriter.,['Adam Simon'],,,,,,,,,,,,
343,what company did produce apollo 13 (film),['Universal Pictures'],,,,,,,,,,,,
344,what musician was born in lodz,['Monika Kuszyńska'],,,,,,,,,,,,
345,What instrument does butterscotch play,['Singing'],,,,,,,,,,,,
346,what genre is bitterblue considered,[nan],,,,,,,,,,,,
347,which games were developed by codemasters?,['Psycho Pinball'],,,,,,,,,,,,
348,What is a game published by acclaim entertainment?,['Mortal Kombat 3'],,,,,,,,,,,,
349,What is a game developed by uep systems?,['Cool Boarders: Code Alien'],,,,,,,,,,,,
350,what's the name of one of ghassan tueni's parents,['Gebran Andraos Tueni'],,,,,,,,,,,,
351,where did mahendranath gupta die,['India'],,,,,,,,,,,,
352,This Azerbaijan football player played the position of midfielder,[nan],,,,,,,,,,,,
353,Name a voice actor.,['Mohan Kapoor'],,,,,,,,,,,,
354,what album was created by airbourne,['No Way But the Hard Way'],,,,,,,,,,,,
355,what is the primary language of the big dream,['Cinema of Italy'],,,,,,,,,,,,
356,"Where was louis agassiz shaw, jr. born",[nan],,,,,,,,,,,,
357,What is john heitinga's gender?,[nan],,,,,,,,,,,,
358,what is john evan thomas's gender,[nan],,,,,,,,,,,,
359,a sound of thunder  produced what type of music,['Heavy metal music'],,,,,,,,,,,,
360,Which gender is boyd irwin?,[nan],,,,,,,,,,,,
361,what is the artist siouxsie sioux's genre,['Post-punk'],,,,,,,,,,,,
362,Where did damon knight die?,"['Eugene, Oregon']",,,,,,,,,,,,
363,What city did ralph fox pass away?,['Philadelphia'],,,,,,,,,,,,
364,what is the gender of ron canada?,[nan],,,,,,,,,,,,
365,What gameplay mode is supported by the computer videogame mashed: fully loaded,['Multiplayer video game'],,,,,,,,,,,,
366,what's a major hub for kosova airlines,['Pristina International Airport'],,,,,,,,,,,,
367,Who is a person with the profession model (person)?,[nan],,,,,,,,,,,,
368,What type of bridge is mezcala bridge?,['Cable-stayed bridge'],,,,,,,,,,,,
369,Who is a notable person that was born in copenhagen,['Mona Vangsaae'],,,,,,,,,,,,
370,what is tom urbani's position is baseball,['Pitcher'],,,,,,,,,,,,
371,What sort of music is featured on recitation,[nan],,,,,,,,,,,,
372,What is the birth place of vahan gevorgyan?,['Soviet Union'],,,,,,,,,,,,
373,where was andy todd born?,['Derby'],,,,,,,,,,,,
374,What is john b. haskin's profession,['Representative'],,,,,,,,,,,,
375,who was an american football player and a participant in world war ii,['202nd Coastal Division (Italy)'],,,,,,,,,,,,
376,What language was sybil written in,[nan],,,,,,,,,,,,
377,where was karl burdach born,[nan],,,,,,,,,,,,
378,"Who was the author of bill, the galactic hero?",['Harry Harrison (writer)'],,,,,,,,,,,,
379,What gender is adrien robinson?,[nan],,,,,,,,,,,,
380,what did lysander spooner author,['No Treason'],,,,,,,,,,,,
381,where was doug west born,"['Altoona, Pennsylvania']",,,,,,,,,,,,
382,Which position does the basketball player jack cooley play,['Center (basketball)'],,,,,,,,,,,,
383,whats the location of jurriaan andriessen's death,[nan],,,,,,,,,,,,
384,who is a pitcher born in philadelphia,['Aaron Fenton'],,,,,,,,,,,,
385,what label is lavern baker under?,['Atlantic Records'],,,,,,,,,,,,
386,What type of computer video game is Astra Super Stars?,[nan],,,,,,,,,,,,
387,what city on the west coast is the place of birth of richard a. jones,['Washington (state)'],,,,,,,,,,,,
388,which country is parijat (writer) from,[nan],,,,,,,,,,,,
389,what gender is marek koterski,[nan],,,,,,,,,,,,
390,who created the chappelle's show,['Dave Chappelle'],,,,,,,,,,,,
391,which position on the field does yeo hyo-jin play,['Defender (association football)'],,,,,,,,,,,,
392,Where was katie cassidy born,['Los Angeles'],,,,,,,,,,,,
393,what company did publish brothers in arms ds game,['Ubisoft'],,,,,,,,,,,,
394,who is a male that was born in huy,['John Joseph Merlin'],,,,,,,,,,,,
395,what is arthur hallam's place of death?,[nan],,,,,,,,,,,,
396,what artist is part of the new wave music genre,['21st Century Boy'],,,,,,,,,,,,
397,joseph taylor robinson house is an example of what type of architecture?,['Stick style'],,,,,,,,,,,,
398,Where was william henry allen's place of birth?,[nan],,,,,,,,,,,,
399,What gender is melchior berri,[nan],,,,,,,,,,,,
400,Name someone who was born in toronto,['40 (record producer)'],,,,,,,,,,,,
401,"which politician was born in salem, tamil nadu?",['A. P. Balachandran'],,,,,,,,,,,,
402,what gender group does susan owens belong to,[nan],,,,,,,,,,,,
403,what is an example of a sports game,[nan],,,,,,,,,,,,
404,"Who wrote \\""l\\"" is for lawless?",['Sue Grafton'],,,,,,,,,,,,
405,What is max alexander's gender?,[nan],,,,,,,,,,,,
406,What swedish city was gerard de geer born in?,['Stockholm'],,,,,,,,,,,,
407,where is the show master blasters broadcast,[nan],,,,,,,,,,,,
408,Who was born in corpus christi?,['Frances Farenthold'],,,,,,,,,,,,
409,which war did neil hamilton fairley get involved,['Aitape–Wewak campaign'],,,,,,,,,,,,
410,who directed the film the scalphunters,['Sydney Pollack'],,,,,,,,,,,,
411,Who wrote the tv episode the natural order?,['Tina Fey'],,,,,,,,,,,,
412,which actor was born in halifax?,['Mona Greenwood'],,,,,,,,,,,,
413,"What profession was baltasar de la cueva, count of castellar?",['Viceroy'],,,,,,,,,,,,
414,which city was georges doriot born,['Paris'],,,,,,,,,,,,
415,What is aneek dhar's place of birth,['India'],,,,,,,,,,,,
416,is michael staniforth from united kingdom or united states,['England'],,,,,,,,,,,,
417,Name someone who was interred at westminster abbey,"['Hester Pitt, Countess of Chatham']",,,,,,,,,,,,
418,what movie was produced by hal roach?,['Topper Returns'],,,,,,,,,,,,
419,what is hwang byung-ju's nationality?,['South Korea'],,,,,,,,,,,,
420,what city did lou perryman die in?,"['Austin, Texas']",,,,,,,,,,,,
421,where did bobby durham pass away,[nan],,,,,,,,,,,,
422,who directed the movie,['Bill Plympton'],,,,,,,,,,,,
423,what is lars eriksson's nationality,[nan],,,,,,,,,,,,
424,Name someone who was born in birmingham,['Montel Gibson'],,,,,,,,,,,,
425,what label is david vanian with,['Nitro Records'],,,,,,,,,,,,
426,what east coast city did paris theodore die in,['New York City'],,,,,,,,,,,,
427,what is the nationality of gerardo esquivel?,['Mexico'],,,,,,,,,,,,
428,which movie did agnieszka holland write,['Europa Europa'],,,,,,,,,,,,
429,which artist is signed with delicious vinyl?,['J Dilla'],,,,,,,,,,,,
430,who wrote victor victoria,[nan],,,,,,,,,,,,
431,what genre does american music club belong to,['Folk rock'],,,,,,,,,,,,
432,what album was created by linda ronstadt,['Faithless Love'],,,,,,,,,,,,
433,Who's a musician that writes film scores,['Georges Garvarentz'],,,,,,,,,,,,
434,where was djoumin sangaré born,['Dunkirk'],,,,,,,,,,,,
435,What profession does Lucy Russell have?,['Actress'],,,,,,,,,,,,
436,what types of music is p.a.r.c.e.,[nan],,,,,,,,,,,,
437,What is a film created by mosfilm?,['31 June'],,,,,,,,,,,,
438,what foreign artist sings pop music,['(One Glance Is) Holy'],,,,,,,,,,,,
439,what type of music does  switchblade symphony create,['Progressive rock'],,,,,,,,,,,,
440,is saigon kick heavy metal or rock,[nan],,,,,,,,,,,,
441,What is yuriko yamamoto's profession?,['Actress'],,,,,,,,,,,,
442,what type of music is sung in the you aint woman enough album,[nan],,,,,,,,,,,,
443,who is known as a voice actor,['Mohan Kapoor'],,,,,,,,,,,,
444,What is an album by  ronnie milsap?,"[""(I'd Be) A Legend in My Time""]",,,,,,,,,,,,
445,where did bartolomé blanche die,['Chile'],,,,,,,,,,,,
446,What is the gender of micah lawrence?,[nan],,,,,,,,,,,,
447,What platform was attack of the killer tomatoes released on,['Platform game'],,,,,,,,,,,,
448,what position is pavel badea,['Midfielder'],,,,,,,,,,,,
449,what country is campo de ourique in,['Portugal'],,,,,,,,,,,,
450,what film is  tim burton known for directing,['Beetlejuice'],,,,,,,,,,,,
451,What film was russ meyer a cinematographer for?,['Mondo Topless'],,,,,,,,,,,,
452,Where did prince carlos of bourbon-two sicilies die,[nan],,,,,,,,,,,,
453,who directed bheja fry (film),['Sagar Ballary'],,,,,,,,,,,,
454,in which conflict did frederick benteen participate in,['Battle of Columbus (1865)'],,,,,,,,,,,,
455,Who produced beloved (film)?,[nan],,,,,,,,,,,,
456,Who was born in shimla?,['Anand Sharma'],,,,,,,,,,,,
457,which album is pop rock,['21 (Hunter Hayes song)'],,,,,,,,,,,,
458,where was cino da pistoia born,[nan],,,,,,,,,,,,
459,Which instrument did steve helstrip play?,['Drum machine'],,,,,,,,,,,,
460,"Who produced the film yes, madam",[nan],,,,,,,,,,,,
461,Name a romance novel,['2 States: The Story of My Marriage'],,,,,,,,,,,,
462,who was the director of the film temple grandin,['Mick Jackson (director)'],,,,,,,,,,,,
463,is buron fitts male or female,[nan],,,,,,,,,,,,
464,Who's a soldier born in altshausen,['Gustav Mesmer'],,,,,,,,,,,,
465,What is the nationality of emilio comte?,[nan],,,,,,,,,,,,
466,what genre of music does catfish keith produce,['Blues'],,,,,,,,,,,,
467,where was the film the angry river filmed in?,[nan],,,,,,,,,,,,
468,what mode is international superstar soccer pro played on?,['Multiplayer video game'],,,,,,,,,,,,
469,what football position does yevgeni tarasov play,['Forward (association football)'],,,,,,,,,,,,
470,where did renu saluja die?,['Mumbai'],,,,,,,,,,,,
471,In what US city was leo nocentelli born?,['New Orleans'],,,,,,,,,,,,
472,What genre of music is mc breed known for?,['Hip hop music'],,,,,,,,,,,,
473,Who was born in new york city?,['6ix9ine'],,,,,,,,,,,,
474,what is derek rutherford's occupation?,['Author'],,,,,,,,,,,,
475,Foo Fighters produce what genre of music?,['Hard rock'],,,,,,,,,,,,
476,in what language is the film shehnai,['Hindi'],,,,,,,,,,,,
477,what is a film in the genre silent film,['39 East'],,,,,,,,,,,,
478,What's an album from alien sex fiend,['Alien Sex Fiend discography'],,,,,,,,,,,,
479,which irish novelist was born in london,['21 Savage'],,,,,,,,,,,,
480,what is garrett hedlund's gender,[nan],,,,,,,,,,,,
481,which label is camélia jordana signed to,['Sony Music'],,,,,,,,,,,,
482,Name a person born in Antwerp.,['Mordecai Paldiel'],,,,,,,,,,,,
483,Who is a progressive rock artist,['02 Panic Room'],,,,,,,,,,,,
484,what kind of music can be found on home for christmas,[nan],,,,,,,,,,,,
485,what is paul delay's nationality,"['Portland, Oregon']",,,,,,,,,,,,
486,what is giovanni tuccari's place of death,[nan],,,,,,,,,,,,
487,what genre of music is the album a hard road,[nan],,,,,,,,,,,,
488,What kind of tv show is the rerun show,['Sketch comedy'],,,,,,,,,,,,
489,Where was david dunn born,['Great Harwood'],,,,,,,,,,,,
490,What is the name of dar williams's 2003 album,[nan],,,,,,,,,,,,
491,Name a person born in palermo.,['Emanuele Calaiò'],,,,,,,,,,,,
492,what is a 20th century fox film produced in 1959,[nan],,,,,,,,,,,,
493,where was  moira lynd born,['Scotland'],,,,,,,,,,,,
494,which gender is rolf henne,[nan],,,,,,,,,,,,
495,Which film is a silent film?,['39 East'],,,,,,,,,,,,
496,what does eva marcille do for a living,['Actress'],,,,,,,,,,,,
497,what genre is the dark man and others,['Horror fiction'],,,,,,,,,,,,
498,where was mary ann sieghart given birth,['Hammersmith'],,,,,,,,,,,,
499,what is an album by dozer,[nan],,,,,,,,,,,,
500,What is the name of a program created by dick clement,['Henry IX (TV series)'],,,,,,,,,,,,
501,What type of gameplay mode is neon genesis evangelion: iron maiden 2nd,['Single-player video game'],,,,,,,,,,,,
502,Who is an artist of nu metal?,['Bad Magick'],,,,,,,,,,,,
503,where was margaret way born,['Brisbane'],,,,,,,,,,,,
504,who is one of nefertiti's children,['Ankhesenamun'],,,,,,,,,,,,
505,What movie did roger corman produce,['Monster from the Ocean Floor'],,,,,,,,,,,,
506,what movie did michael nyman create music for?,['24 Hours in the Life of a Woman (2002 film)'],,,,,,,,,,,,
507,who wrote the film walk hard: the dewey cox story,['Judd Apatow'],,,,,,,,,,,,
508,what album is by jayceon terrell taylor?,['Red Nation'],,,,,,,,,,,,
509,Where in mississippi was nathaniel h. harris born,[nan],,,,,,,,,,,,
510,what is raphael martinho's sex,[nan],,,,,,,,,,,,
511,What is the name of a film directed by cecil b. demille,['North West Mounted Police (film)'],,,,,,,,,,,,
512,Where did frances marion die?,[nan],,,,,,,,,,,,
513,Name a shooter game,['Alien Shooter: Vengeance'],,,,,,,,,,,,
514,where was the birthplace of nik abdul aziz nik mat,['British Malaya'],,,,,,,,,,,,
515,Who is someone that was born in sandefjord?,['Atle Bakken'],,,,,,,,,,,,
516,"Who is the mother of edward, king of portugal?",['Philippa of Lancaster'],,,,,,,,,,,,
517,What kind of music is the oscar peterson plays the jerome kern songbook album?,[nan],,,,,,,,,,,,
518,which country is dávid kulcsár from,['Miskolc'],,,,,,,,,,,,
519,What bridge can be found over the yarra river?,['West Gate Bridge'],,,,,,,,,,,,
520,which footballer was born in canton of nidwalden,['Christophe Lambert (footballer)'],,,,,,,,,,,,
521,"what type of bridge is the richmond bridge, london",['Arch bridge'],,,,,,,,,,,,
522,what is the main profession of jim huber,[nan],,,,,,,,,,,,
523,who directed drive a crooked road,['Richard Quine'],,,,,,,,,,,,
524,Which language is the film in love and war in,['English language'],,,,,,,,,,,,
525,Name an album by TVXQ.,['Break Out! (Tohoshinki song)'],,,,,,,,,,,,
526,Which episode did david livingston direct?,[nan],,,,,,,,,,,,
527,"What type of music genre is ""Carrying On""?",[nan],,,,,,,,,,,,
528,which city was adrian mcpherson born,[nan],,,,,,,,,,,,
529,What is a film that dana stevens wrote?,['City of Angels (film)'],,,,,,,,,,,,
530,which russian city was prince paul of yugoslavia born,[nan],,,,,,,,,,,,
531,What is the name of a film that vidyasagar (music director) contributed to music to,['Abhiyum Naanum'],,,,,,,,,,,,
532,what is max joseph von pettenkofer's gender?,[nan],,,,,,,,,,,,
533,who is a jazz musician from the 1930s,['32 Records'],,,,,,,,,,,,
534,what's the name of a man who was born in melbourne,['360 (rapper)'],,,,,,,,,,,,
535,what country is yanina zhejmo from,[nan],,,,,,,,,,,,
536,where did luther gulick die,"['Casco, Maine']",,,,,,,,,,,,
537,"Who is someone born in kewanee, illinois?",['Walter T. Bailey'],,,,,,,,,,,,
538,what group of people live in humayra abedin,[nan],,,,,,,,,,,,
539,What is ogedayspace's gender?,[nan],,,,,,,,,,,,
540,what is fireman jim flynn's place of birth?,"['Hoboken, New Jersey']",,,,,,,,,,,,
541,what position does martin abena have in soccer?,['Midfielder'],,,,,,,,,,,,
542,what city was joe burns (american football) born,"['Thomasville, Georgia']",,,,,,,,,,,,
543,what sex is david brazier,[nan],,,,,,,,,,,,
544,what kind of album is rising force,[nan],,,,,,,,,,,,
545,Name a pop music artist.,['(One Glance Is) Holy'],,,,,,,,,,,,
546,what film did osamu tezuka write?,['Astro Boy (1980 TV series)'],,,,,,,,,,,,
547,is stefán logi magnússon male or female,[nan],,,,,,,,,,,,
548,who was born in michigan,['42 Dugg'],,,,,,,,,,,,
549,Is su tong female or male?,[nan],,,,,,,,,,,,
550,is ten pin alley single-player or multiplayer,['Single-player video game'],,,,,,,,,,,,
551,which movie was produced by andrew scheinman,['When Harry Met Sally...'],,,,,,,,,,,,
552,who is the founder of gap inc.?,['Donald Fisher'],,,,,,,,,,,,
553,where was nolan baumgartner born at?,['Calgary'],,,,,,,,,,,,
554,what country is dallas roberts originally from,['Houston'],,,,,,,,,,,,
555,What is the name of a person who is an architect,['941–955 Boylston Street'],,,,,,,,,,,,
556,what war was  frederick j. karch apart of,['World War II'],,,,,,,,,,,,
557,What is fauziah latiff's nationality?,['Teluk Intan'],,,,,,,,,,,,
558,in which movie was ken hughes the music director,['The Long Haul (1957 film)'],,,,,,,,,,,,
559,what defensive position does chris hussey play,['Defender (association football)'],,,,,,,,,,,,
560,Which war did William J. Obrien fight in?,['Battle of Saipan'],,,,,,,,,,,,
561,who directed the film the young and prodigious spivet,[nan],,,,,,,,,,,,
562,who produced hands up!,['Adolph Zukor'],,,,,,,,,,,,
563,Where was hamish bond born?,['Dunedin'],,,,,,,,,,,,
564,what was billy walton's football position?,['Forward (association football)'],,,,,,,,,,,,
565,what is an alternative rock album,['Again (Alice in Chains song)'],,,,,,,,,,,,
566,Which professional footballer was born in liverpool?,['A. R. B. Thomas'],,,,,,,,,,,,
567,where was the death place of dan gerrity,[nan],,,,,,,,,,,,
568,what film was mervyn leroy the director of,['Two Seconds'],,,,,,,,,,,,
