"Question";"First 3 Words";"Last 3 Words"
"What is the person known for who is the movie director of Sleepy-Time Squirrel?";"What is the";" of Sleepy-Time Squirrel?"
"List all the nicknames of the city which has Torun gingerbread as one of it?";"List all the";" one of it?"
"Where did Steve Romeo die?";"Where did Steve";" Steve Romeo die?"
"Name the person whose parent is Pattie Mallette?";"Name the person";" is Pattie Mallette?"
"Which politician was succeeded by someone who graduated from the Instituts d'tudes politiques?";"Which politician was";" Instituts d'tudes politiques?"
"Which awards did the children of Erik Bergman win ?";"Which awards did";" Bergman win ?"
"Brian Dunkleman is the presenter of what TV show?";"Brian Dunkleman is";" what TV show?"
"Name the shows whose theme was composed by a band in which Jay Lane used to be?";"Name the shows";" used to be?"
"List the children of the parent of Marvin Bush.";"List the children";" of Marvin Bush."
"Where did Whitney Wistert debut?";"Where did Whitney";" Whitney Wistert debut?"
"In which countries are there banks which came after the National Commercial Bank of Mauritius?";"In which countries";" Bank of Mauritius?"
"What party are Siddharta Shankar Ray and Kamla Beniwal from?";"What party are";" Kamla Beniwal from?"
"What are the television shows whose network is BBC HD?";"What are the";" is BBC HD?"
"Which currency is used by the record label of the Way to Your Heart?";"Which currency is";" to Your Heart?"
"From where does the river Upper Neretva start flowing?";"From where does";" Neretva start flowing?"
"Which planet was discovered by Johann Gottfired and Urbain Le Verrier ?";"Which planet was";" Le Verrier ?"
"Name the TV show with Simon Fuller as artist and Fox as the channel ?";"Name the TV";" the channel ?"
"The sports team which played at the American Basketball League championship (1996-1998), have which stadiums?";"The sports team";" have which stadiums?"
"Name the tv series produced by Stephen Ambrose and Erik Bork?";"Name the tv";" and Erik Bork?"
"Malaysian highway authority has designed bridges over what things?";"Malaysian highway authority";" over what things?"
"Did Jerry Rice study in Oktoc Mississippi?";"Did Jerry Rice";" in Oktoc Mississippi?"
"List the magazines published by Playboy Enterprises ?";"List the magazines";" Playboy Enterprises ?"
"What products are made by Tehran based companies?";"What products are";" Tehran based companies?"
"Which holy things canonized John of Damascus?";"Which holy things";" John of Damascus?"
"Name the common institution of the Erica Frank and Douglass North?";"Name the common";" and Douglass North?"
"Where do the railroads owned by the Chicago and Northwestern Transportation company begin?";"Where do the";" Transportation company begin?"
"In which racing championships did Bobby Beasley and Martin Molony participate?";"In which racing";" Martin Molony participate?"
"Who produced the TV shows for Fremantle Media?";"Who produced the";" for Fremantle Media?"
"How many athletic associations are there in all of the private universities?";"How many athletic";" the private universities?"
"What is the PLACE OF DEATH of Charles Gordon (artist) ?";"What is the";" Gordon (artist) ?"
"Who acted in the work written by Colin Brake?";"Who acted in";" by Colin Brake?"
"Who is the leader of United States House of Representatives elections, 1788 and 1789 ?";"Who is the";" and 1789 ?"
"Where was Al-Muzaffar Umar buried ?";"Where was Al-Muzaffar";" Umar buried ?"
"Who are the people who died in a place architected by Jens Jensen?";"Who are the";" by Jens Jensen?"
"List the places where the relatives of Mark Donaldson died ?";"List the places";" Donaldson died ?"
"Who owns Chelsea F.C.?";"Who owns Chelsea";" owns Chelsea F.C.?"
"Where is the headquarter of Regional Transit Authority of Southeast Michigan ?";"Where is the";" Southeast Michigan ?"
"Which program was on NBC network with executive producer as Glen and Les Charles?";"Which program was";" and Les Charles?"
"Which high school of jerry Tagge is also the nearest city of Tennie laura ?";"Which high school";" Tennie laura ?"
"What religions do diplomats typically follow?";"What religions do";" diplomats typically follow?"
"Tell me the name of the Prime Time Entertainment Network's TV show whose Artist is Christopher Franke ?";"Tell me the";" Christopher Franke ?"
"Name the television show with opening theme as Te Deum and is composed by Marc-Antoine Charpentier?";"Name the television";" by Marc-Antoine Charpentier?"
"Who is the owner of Saumarez?";"Who is the";" owner of Saumarez?"
"Name the rivers who originate from Essex?";"Name the rivers";" originate from Essex?"
"What all has been created by Jerry Siegel?";"What all has";" by Jerry Siegel?"
"Which countries were the first to play Gumus and Ne daj se, Nina?";"Which countries were";" daj se, Nina?"
"List the significant building of the architect who also designed Kiev?";"List the significant";" also designed Kiev?"
"Who is associated to Publius Servilius Vatia Isauricus and Marcus Calpurnius Bibulus?";"Who is associated";" Marcus Calpurnius Bibulus?"
"In which city was the company founded, which owns Grasim Bhiwani Textiles?";"In which city";" Grasim Bhiwani Textiles?"
"List the language of Kunsten Museum of moder art Aalborg ?";"List the language";" art Aalborg ?"
"What is the origin of the musical artist of A Todo Romantic Style ?";"What is the";" Romantic Style ?"
"In which country did the planes designed by Ursula Hanle originate?";"In which country";" Ursula Hanle originate?"
"Horses grandsired by Sundridge have won which awards?";"Horses grandsired by";" won which awards?"
"List software written in C++ and runs on Mac OS?";"List software written";" on Mac OS?"
"What is the predecessor of the car engine which was succeeded by BMW M43?";"What is the";" by BMW M43?"
"What is the location country of Teperberg 1870 ?";"What is the";" Teperberg 1870 ?"
"Give me all magazines whose editors live in Chicago?";"Give me all";" live in Chicago?"
"What is the county of the road whose route end is Pahang ?";"What is the";" is Pahang ?"
"Where was Picasso's Last Words recorded?";"Where was Picasso's";" Last Words recorded?"
"List the religion of people in the Cambodian human rights party?";"List the religion";" human rights party?"
"Which body governs over the place made by the chumash people?";"Which body governs";" the chumash people?"
"Which companies published Super Mario Adventures?";"Which companies published";" Super Mario Adventures?"
"In which countries can i find some feminist writers?";"In which countries";" some feminist writers?"
"What is the television show whose theme music is by Primus?";"What is the";" is by Primus?"
"Name some leaders of the parent organisation of the Gestapo?";"Name some leaders";" of the Gestapo?"
"Name the largest city in the county where there is a Cy-Fair High School.";"Name the largest";" Cy-Fair High School."
"Who all have been a president of educational institutes in Paud?";"Who all have";" institutes in Paud?"
"In what battles did president Park Chung-hee participate?";"In what battles";" Park Chung-hee participate?"
"Is Egyptian Arabic belong to the Central Semitic Languages family?";"Is Egyptian Arabic";" Semitic Languages family?"
"From how many different cities have people gone to the Illinois Fighting Illini men's basketball?";"From how many";" Illini men's basketball?"
"Where does the river end which starts in Mazabuka?";"Where does the";" starts in Mazabuka?"
"Where was the current champion of Egyptian Open born ?";"Where was the";" Open born ?"
"What is the mascot of the unit whose garrison is Canberra ?";"What is the";" is Canberra ?"
"Who was the prime minister under which the predecessor of Derick Heathcoat Amory served?";"Who was the";" Heathcoat Amory served?"
"Purnima Banerjee and Rishang Keishing are politicians of what party ?";"Purnima Banerjee and";" what party ?"
"Where can i find companies which were started in Toronto?";"Where can i";" started in Toronto?"
"Which route junction of the Rhode Island Route 15 is the place of birth of the Michael Poulin?";"Which route junction";" the Michael Poulin?"
"Count the sports played at universities located in Urban Areas?";"Count the sports";" in Urban Areas?"
"List the origin of the weapons which were used in the American Revolutionary War.";"List the origin";" American Revolutionary War."
"Who is the author of Karakuri Dji Ultimo?";"Who is the";" Karakuri Dji Ultimo?"
"Is Rain Over me in the planet pit album?";"Is Rain Over";" planet pit album?"
"How many people have voiced characters sculpted by Clamp?";"How many people";" sculpted by Clamp?"
"Name the movies in which music is given by Laurie Johnson and edited by Anthony Harvey?";"Name the movies";" by Anthony Harvey?"
"Did Joe Namath did his highschool in Beaver Falls High School?";"Did Joe Namath";" Falls High School?"
"How many different genres of games are produced by Blizzard?";"How many different";" produced by Blizzard?"
"How many companies are located in a spanish speaking region?";"How many companies";" spanish speaking region?"
"Is wizard rock inspired from Harry potter?";"Is wizard rock";" from Harry potter?"
"What is the game platform of Google Cloud Connect?";"What is the";" Google Cloud Connect?"
"What appliance Sony made after the success of PlayStation 2?";"What appliance Sony";" of PlayStation 2?"
"Which political figures were awarded Screen Actors Guild Life Achievement Award?";"Which political figures";" Life Achievement Award?"
